rundate,vdate,station,tmax.obs,tmin.obs,precip.obs,wspd.obs,tmax.gec00,tmax.gep01,tmax.gep02,tmax.gep03,tmax.gep04,tmax.gep05,tmax.gep06,tmax.gep07,tmax.gep08,tmax.gep09,tmax.gep10,tmax.gep11,tmax.gep12,tmax.gep13,tmax.gep14,tmax.gep15,tmax.gep16,tmax.gep17,tmax.gep18,tmax.gep19,tmax.gep20,tmin.gec00,tmin.gep01,tmin.gep02,tmin.gep03,tmin.gep04,tmin.gep05,tmin.gep06,tmin.gep07,tmin.gep08,tmin.gep09,tmin.gep10,tmin.gep11,tmin.gep12,tmin.gep13,tmin.gep14,tmin.gep15,tmin.gep16,tmin.gep17,tmin.gep18,tmin.gep19,tmin.gep20,precip.gec00,precip.gep01,precip.gep02,precip.gep03,precip.gep04,precip.gep05,precip.gep06,precip.gep07,precip.gep08,precip.gep09,precip.gep10,precip.gep11,precip.gep12,precip.gep13,precip.gep14,precip.gep15,precip.gep16,precip.gep17,precip.gep18,precip.gep19,precip.gep20,wspd.gec00,wspd.gep01,wspd.gep02,wspd.gep03,wspd.gep04,wspd.gep05,wspd.gep06,wspd.gep07,wspd.gep08,wspd.gep09,wspd.gep10,wspd.gep11,wspd.gep12,wspd.gep13,wspd.gep14,wspd.gep15,wspd.gep16,wspd.gep17,wspd.gep18,wspd.gep19,wspd.gep20
2016092106,2016092200,KEYW,89,79,0,14,84.1941,84.2831,84.4007,84.1054,84.2637,84.223,84.1941,84.4437,84.1054,84.3431,84.552,84.2544,84.3451,84.583,84.4944,84.5013,84.2637,84.4319,84.2324,84.4344,84.2517,83.4792,83.2727,83.3903,83.484,83.4717,83.2992,83.3591,83.5081,83.424,83.2438,83.7218,83.633,83.6302,83.7505,83.4192,83.7505,83.6881,83.5682,83.604,83.3592,83.604,0.0852,0.0214,0.0081,0.0125,0.1135,0.0802,0.0027,0.2007,0.0078,0.0316,0.0852,0.0581,0.0914,0.0303,0.0355,0.1172,0.0215,0.0354,0.0306,0.0355,0.0711,7.5233,7.6587,6.0701,6.774,6.7875,9.3525,7.9607,7.8331,6.2268,7.1586,7.2113,5.6389,8.4322,7.8035,8.0931,8.6656,7.1117,8.3388,7.8921,8.6205,8.4307
2016092106,2016092200,KGRI,80,62,0,20,93.9461,95.2682,91.8677,94.029,95.8188,95.1305,94.7493,94.8608,94.4669,95.6422,94.7489,94.4986,94.7194,94.2165,94.654,94.024,92.3666,93.7415,94.5656,93.1312,94.2748,72.138,72.1424,68.9556,70.8017,72.8154,73.4792,69.5211,71.8945,70.8815,70.0587,68.47,71.3651,70.4358,71.0518,72.5484,68.428,68.1603,72.6262,71.1682,68.4922,68.8556,0.0631,0.0317,0.6032,0.0673,0.0118,0.3706,0.2704,0.1323,0.1346,0.0994,0.2752,0.0726,0.2742,0.0249,0.0179,0.194,0.2505,0.0607,0.0232,0.0744,0.028,17.0059,18.4662,15.7263,16.7011,17.6306,17.9603,18.7906,17.9993,17.1831,19.3869,17.1799,16.9213,16.3978,18.803,16.1237,17.7328,15.8606,18.1308,17.2469,16.5442,15.4981
2016092106,2016092200,KMDT,85,60,0,8,83.3241,83.6029,82.7987,83.0141,83.7248,83.2848,83.8679,83.056,83.1968,83.3768,83.2321,83.3729,83.5041,83.144,83.8816,83.634,83.814,83.3349,83.4622,83.056,83.5921,56.6657,55.4065,54.5615,55.1499,55.8607,56.2297,56.027,56.843,55.6507,55.9673,55.1985,56.4672,56.646,55.7119,57.7831,56.4616,56.8428,55.5711,55.714,55.8373,56.2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1812,5.6108,4.1344,4.6838,3.986,4.8057,4.2742,4.2138,4.9937,4.6588,4.4965,5.1642,4.6397,4.7446,4.1624,4.1528,4.4657,4.3688,4.8002,4.1934,4.3618
2016092106,2016092200,KRNO,60,44,0,29,62.7505,62.964,62.9198,62.4376,63.1475,63.2051,62.1966,62.0498,63.6125,61.8025,63.2762,63.314,62.4947,62.2715,63.3855,63.314,62.8354,62.3525,62.9541,63.0865,62.679,34.7568,35.5752,33.2976,35.5613,34.2888,34.4582,34.6387,35.4758,35.2628,34.1318,35.4058,34.4582,34.5092,34.5767,35.2018,35.0558,34.1928,34.9267,35.0218,34.8893,34.4682,0.0433,0.0647,0.0363,0.0524,0.0509,0.0365,0.0349,0.0324,0.0726,0.0187,0.0244,0.039,0.0985,0.0229,0.0635,0.0251,0.0544,0.0223,0.049,0.0814,0.0395,15.2212,14.894,13.4118,14.4462,14.3386,15.5127,15.4697,15.3925,14.2772,14.2675,15.4058,15.3528,15.2406,14.8903,13.3966,14.3792,14.1629,16.3593,14.4013,14.345,14.8814
2016092106,2016092200,KSEA,65,49,0,15,69.0168,69.1383,68.8032,69.2904,68.7744,68.6307,68.9406,68.9728,68.8665,68.3223,68.7331,69.4517,69.6215,67.7101,69.3465,68.7722,69.0713,67.6587,69.1033,68.7606,68.1368,37.8411,37.8817,38.8399,38.44,37.3349,37.6338,37.6563,37.4792,38.0356,37.5617,37.8995,38.3262,38.5821,37.229,38.2939,37.8191,38.6396,36.5922,38.046,37.0918,37.591,0.0003,0.0001,0,0.0004,0,0.0007,0.0011,0.0004,0,0,0.0021,0,0.0005,0.0013,0.0001,0.0018,0,0.0005,0.0005,0.0005,0,3.7398,3.7632,4.0215,3.4088,3.5657,3.9706,3.7775,3.9999,3.8847,3.8558,4.1571,3.7304,3.401,3.8363,3.8018,4.0191,3.7848,3.7059,3.8174,3.9139,3.5699
2016092106,2016092200,KTVC,73,64,0.18,8,75.0736,74.7411,70.8658,71.1484,77.0831,75.8996,76.5583,73.3919,74.882,73.2739,69.6773,74.9199,73.3354,75.6933,74.8046,72.6679,72.2754,70.8377,72.8187,71.3297,73.9298,63.0391,63.3012,61.2564,61.8124,63.7522,64.852,64.1747,61.7624,63.3261,65.0784,60.5083,63.4964,63.0559,64.4838,62.1139,64.3971,62.5712,62.626,62.6343,60.6967,61.359,0.4456,0.6384,0.7709,1.0218,0.6267,0.5428,0.3537,0.6143,0.6881,0.5815,0.6815,0.7027,0.74,0.522,0.6421,0.7139,0.7603,0.9651,0.7153,0.6032,0.4745,8.8192,9.9639,10.8992,10.9465,9.8905,8.2325,10.0501,10.1335,8.3884,6.4114,9.7372,11.9633,9.0989,9.7206,9.8899,7.4789,11.0451,9.9688,11.665,10.0476,11.2867
2016092206,2016092300,KEYW,89,76,1.93,18,84.2568,83.9999,83.9616,84.1679,84.2568,84.1175,83.9278,83.9999,84.1989,83.8678,84.1078,83.9923,84.3481,84.1654,84.4368,84.1078,84.1078,84.1968,84.0502,84.3743,83.9613,83.3302,83.3662,83.0662,83.371,83.434,83.3352,83.4263,83.1476,83.4527,83.3014,83.0858,83.0303,83.3664,82.944,83.3686,83.3014,83.448,83.1838,83.4815,83.5149,83.2993,0.0204,0.1719,0.0007,0.0019,0.1462,0.1597,0.003,0.1685,0.0031,0.0035,0.1845,0.1205,0.001,0.1164,0.0011,0.1742,0.1239,0.0118,0.0735,0.0075,0.1121,4.5814,6.1908,3.629,4.3827,4.9197,5.9404,5.8435,7.1554,4.5091,4.7897,6.1342,5.8727,3.8061,4.8938,5.1953,6.5375,4.1741,3.9992,6.1102,4.6572,6.2708
2016092206,2016092300,KGRI,88,62,0,24,92.0266,92.0989,91.6912,92.5682,92.8454,92.2384,92.24,92.3617,91.9454,91.9454,91.7143,92.5947,92.4623,91.8006,91.8958,92.1836,92.2823,91.4882,91.4406,91.3082,92.1023,67.9099,67.0448,68.1917,67.8336,70.2019,70.534,67.9448,67.2739,67.7401,70.1659,68.1124,68.0899,68.9555,69.7493,66.3373,70.6558,68.3146,70.4248,68.8304,67.9145,66.5853,0.0293,0.1152,0.0238,0.0372,0.0071,0.0288,0.1168,0.065,0.0211,0.0222,0.0588,0.0444,0.0178,0.0091,0.124,0.0092,0.0051,0.002,0.0249,0.0322,0.0039,20.7387,20.1561,21.1268,20.524,20.6362,21.7961,21.4303,21.196,20.9155,20.1243,20.4813,21.7437,19.7674,20.5388,20.1573,21.9617,20.7692,21.2469,20.653,20.1539,20.7816
2016092206,2016092300,KMDT,87,58,0,9,86.0121,85.6275,85.3067,86.4865,86.2811,86.0267,86.0648,86.5656,85.9121,85.4367,86.104,85.6167,85.9387,85.744,85.9767,86.0756,86.1313,85.694,86.3748,86.0256,86.2721,53.5744,52.2467,52.754,55.7005,53.3751,54.3195,53.5623,55.5932,54.7025,52.7747,53.9316,52.8121,53.7725,52.4591,53.7793,53.6736,53.1904,51.9786,54.6286,53.1523,53.9847,0.0009,0,0.0015,0.009,0,0,0,0.0012,0.0002,0,0.0044,0,0.0009,0,0.0006,0.0025,0.0022,0.0026,0,0,0.0009,6.1062,6.1331,6.581,8.0969,7.8226,5.5834,5.5001,6.9287,6.1691,7.5107,6.3868,5.8355,5.9636,5.3091,6.1367,6.1085,6.922,6.7134,6.3901,6.9731,5.8246
2016092206,2016092300,KRNO,71,42,0,18,65.6126,66.2011,63.5751,65.3376,63.7281,65.2871,64.4078,66.4417,65.844,64.3737,64.3001,66.8697,65.3276,66.1761,65.331,65.7827,64.6177,66.0441,65.7317,64.7711,65.4836,31.816,32.7672,32.4679,32.2326,31.6874,32.2235,32.5931,32.6118,33.3962,31.2155,32.2226,31.8928,32.8402,32.0556,32.4016,32.0243,32.8297,32.3982,32.2086,31.4618,32.4885,0.0039,0.0114,0.0196,0.0048,0.0073,0.0048,0.0026,0.0024,0.0119,0.0034,0.0024,0.0036,0.0116,0.006,0.0051,0.005,0.0207,0.0063,0.0155,0.0033,0.0138,9.9314,11.3873,10.1737,10.3952,9.6842,8.8433,8.1886,9.6334,8.7529,9.656,10.8277,9.4718,10.4147,10.0388,10.3538,10.4452,11.2982,9.9234,11.1301,10.439,10.0628
